Product name,Category,SKU,Price CZK,Price EUR,Imp. Cost EUR,Imp. Cost CZK
Hộp đựng tip 0-10,Tools & Accessories,TA-HOPDUN-000319,50,2,0.39,9.47
Típ làm mẫu 36 màu,Tools & Accessories,TA-TIPLAM-000320,75,3,0.99,24.94
Kê tay cao - hồng,Tools & Accessories,TA-KETAY-000321,200,8,2.06,51.82
Kê tay cao - be,Tools & Accessories,TA-KETAY-000322,200,8,2.06,51.82
Kê tay cao - vàng,Tools & Accessories,TA-KETAY-000323,200,8,2.06,51.82
Máy bào di động - đen,Đồ điện,DD-MAYBAO-000324,2300,90,33.06,807.63
Đèn pin cầm tay v2,Đồ điện,DD-DENPIN-000325,250,10,2.18,53.78
Pin thay đèn sạc,Đồ điện,DD-PINTHA-000326,450,18,15.53,390.01
Tinh dầu trị nấm 15ml,Hoá chất,HC-TINDAU-000327,250,10,0,109.33
Nước cầm máu,Hoá chất,HC-NUOCAM-000328,100,4,1.94,48.52
Bột - Natural pink,Bột,BOT-BOT-000329,840,35,0,425.91
Bột - Crystal clear,Bột,BOT-BOT-000330,840,35,0,477.31
Liquid Mango J2000M C2,Hoá chất,HC-LIQMAN-000331,1300,52,37.02,922.49
Liquid J-2000 C2,Hoá chất,HC-LIQJ20-000332,1100,50,0,753.21
Liquid J2000 C0,Hoá chất,HC-LIQJ20-000333,1100,50,0,753.21
Bột - Super white,Bột,BOT-BOT-000334,840,35,0,461.52
Bột - Ombre white,Bột,BOT-BOT-000335,840,35,0,444.94
Bột - Milky white,Bột,BOT-BOT-000336,840,35,0,461.52
Bột - Makeup nude,Bột,BOT-BOT-000337,840,35,0,425.91
Bột - Makeup peach,Bột,BOT-BOT-000338,840,35,0,477.31
Bột - Makeup pink,Bột,BOT-BOT-000339,840,35,0,425.91
Bột - Clear,Bột,BOT-BOT-000340,840,35,0,444.94
Primer 500ml,Hoá chất,HC-PRI500-000341,840,35,0,161.13
Bond dry 500ml,Hoá chất,HC-BONDRY-000342,500,20,4.98,124.23
Tay bào Marathon bạc,Đồ điện,DD-TAYBAO-000343,2750,110,87.22,1822.28
Cắt fen thường USA,Tools & Accessories,TA-CATFEN-000344,400,16,8.10,201.96
Cắt fen sâu USA,Tools & Accessories,TA-CATFEN-000345,400,16,8.10,201.96
Diamond Top Coat 500ml,Top Coat,TC-DIATOP-000346,2000,80,30.50,745.25
Top coat tím Medium 1KG,Top Coat,TC-TOPCOA-000347,3800,150,40.64,1013.28
1KG top coat tím loãng,Top Coat,TC-1KGTOP-000348,4000,150,40.64,1013.28
Top coat tím loãng 500ml,Top Coat,TC-TOPCOA-000349,2200,80,25.71,641.17
Chà chân xanh 400c,Tools & Accessories,TA-CHACHA-000350,1000,40,11.44,285.35
Buffer cam 3 mặt,Tools & Accessories,TA-BUFCAM-000351,12,0.5,0.52,12.85
Buffer trắng 4 mặt,Pedicure,PED-BUFTRA-000352,12,0.5,0.53,13.31
Tay bào máy tím,Đồ điện,DD-TAYBAO-000353,4900,200,59.50,1453.76
Tay bào máy G5,Đồ điện,DD-TAYBAO-000354,5400,220,70.82,1738.11
Đèn LED 96W,Đồ điện,DD-DENLED-000355,1400,55,0,505.19
Đèn LED 48W,Đồ điện,DD-DENLED-000356,750,35,10.15,252.99
Tip làm chân set,Pedicure,PED-TIPLAM-000357,150,6,1.41,35.27
Chai sơn trống 15ml,Tools & Accessories,TA-CHASON-000358,50,2,0.92,23.02
Túi ni lông xanh 800c,Tools & Accessories,TA-TUINI-000359,1750,70,36.22,874.57
5in1 Pedicure kit - 200c,Tools & Accessories,TA-5INPED-000360,1450,60,27.22,668.18
Thùng Dũa mini 5000c,Pedicure,PED-THUDUA-000361,3000,120,58.81,1466.41
Thùng Slim buffer 500c,Pedicure,PED-THUSLI-000362,1250,50,5.51,137.43
Thùng que tăm 800c,Pedicure,PED-THUQUE-000363,500,20,5.23,130.49
Đèn cầu vòng đính đá v2,Đồ điện,DD-DENCAU-000364,1975,79,30.54,761.47
Đèn cầu vòng trắng v2,Đồ điện,DD-DENCAU-000365,1975,79,28.22,703.69
4XC - Titan Xanh,Đầu bào,DB-4XC-000366,375,15,5.24,130.73
2XC Titan xanh,Đầu bào,DB-2XCTIT-000367,375,15,5.24,130.73
Lọ không 500ml,Tools & Accessories,TA-LOKHO-000368,50,2,0.29,6.93
Cán dao cạo chân Inox,Pedicure,PED-CANDAO-000369,125,5,0,24.54
Dao lam Micra,Pedicure,PED-DAOLAM-000370,150,6,0,42.66
Dũa 80/80 Luxfile,Dũa,DUA-DUA808-000371,750,30,14.33,345.96
Dũa 100/100 Luxfile,Dũa,DUA-DUA100-000372,750,30,14.33,345.96
Máy sấy khô,Đồ điện,DD-MAYSAY-000373,2000,80,23.92,601.43
Tip fan 120 màu - tip nhọn trong,Tools & Accessories,TA-TIPFAN-000374,150,6,1.34,33.79
Tip fan 120 màu - tip nhọn đục,Tools & Accessories,TA-TIPFAN-000375,150,6,1.34,33.79
Tip fan 120 màu - tip natur trong,Tools & Accessories,TA-TIPFAN-000376,150,6,1.34,33.79
Tip fan 120 màu - tip natur đục,Tools & Accessories,TA-TIPFAN-000377,150,6,1.34,33.79
Barbicide Concentrate 500ml,Hoá chất,HC-BARCON-000378,300,12,5.49,137.18
liner gel vẽ 12ml - trắng,Hoá chất,HC-LINGEL-000379,150,6,1.26,30.68
liner gel vẽ 12ml - đen,Hoá chất,HC-LINGEL-000380,150,6,1.08,26.96
4XC - Hoa cúc 2.0,Đầu bào,DB-4XC-000381,180,8,3.73,92.98
Liner gel vẽ metallic - vàng 15ml,Design,DES-LINGEL-000382,200,8,2.38,59.31
Liner gel vẽ metallic - bạc 15ml,Design,DES-LINGEL-000383,200,8,2.38,59.31
1KG top coat tím đặc,Top Coat,TC-1KGTOP-000384,4000,150,39.28,979.93
4XC,Đầu bào,DB-4XC-000385,200,8,2.52,62.92
Trục nhám sắt v2,Đầu bào,DB-TRUNHA-000386,180,8,1.41,35.21
Trục nhám chắc chắn v2,Đầu bào,DB-TRUNHA-000387,180,8,2.24,55.82
Liquid J-2000 C7,Hoá chất,HC-LIQJ20-000388,1100,50,0,753.21
Bột - Ombre Pink I,Bột,BOT-BOT-000389,840,35,0,608.79
Liquid EMA J-2 C7,Hoá chất,HC-LIQEMA-000390,2000,90,46.17,1151.83
4XC - Đầu tròn - Titan xanh,Đầu bào,DB-4XC-000391,375,15,5.23,130.41
Motor tay máy tím,Đồ điện,DD-MOTTAY-000392,1250,50,8.61,214.83
Super White 250ml,Hoá chất,HC-SUPWHI-000393,1500,60,41.77,1043.49
Super Black 250ml,Hoá chất,HC-SUPBLA-000394,1500,60,41.77,1043.49
Sugar Scrub - Orange 5kg,Pedicure,PED-SUGSCR-000395,1125,45,25.90,646.95
Gel Scrub - Mint 5KG,Hoá chất,HC-GELSCR-000396,875,35,19.60,489.50
Diamond Top Coat 1L,Top Coat,TC-DIATOP-000397,3800,150,0,1071.20
Cốc đựng bột tròn,Tools & Accessories,TA-COCDUN-000398,100,4,1.50,37.49
Hũ đựng gel 50ml,Tools & Accessories,TA-HUDUN-000399,87,3.5,1.20,29.87
Hũ đựng gel 30ml,Tools & Accessories,TA-HUDUN-000400,87,3.5,0.67,16.78
Chà chân vàng 400c,Tools & Accessories,TA-CHACHA-000401,1000,40,14.55,363.43
Đèn sạc pin 90W,Đồ điện,DD-DENSAC-000402,1500,60,18.92,0
Sửa chữa tay bào,Dịch vụ,DV-SUACHU-000403,375,15,0.00,0.00
4XC Đầu tròn v3,Đầu bào,DB-4XCDAU-000404,180,8,2.79,69.57
M vàng - to,Đầu bào,DB-MVAN-000405,180,8,2.79,69.57
Set Bột Neon dặm 24 màu,Design,DES-SETBOT-000406,300,12,2.79,69.61
Set Bút Xốp dặm,Design,DES-SETBUT-000407,250,10,0.62,15.36
Thân máy Trắng Marathon,Đồ điện,DD-THAMAY-000408,1500,60,24.61,613.81
Dây cắm 3 chân UP200,Đồ điện,DD-DAYCAM-000409,150,6,2.34,58.31
Set Sơn mắt mèo 10D 12 màu,Sơn màu,SM-SETSON-000410,1500,60,16.53,413.03
Gel nặn 3D - Clear 50ml,Design,DES-GELNAN-000411,250,10,1.92,47.93
Kê chân cao - đen vàng,Tools & Accessories,TA-KECHA-000412,300,12,6.73,168.00
Kê chân cao - trắng vàng,Tools & Accessories,TA-KECHA-000413,300,12,6.73,168.00
Chổi quét bàn - Nhỏ,Tools & Accessories,TA-CHOQUE-000414,150,6,1.53,38.10
Muối viên xô 4000 viên,Pedicure,PED-MUOVIE-000415,4000,160,65.78,1639.06
Moonlight Cat Eye 12 màu,Sơn màu,SM-MOOCAT-000416,1500,60,28.37,706.94
Gel thinner 30ml,Hoá chất,HC-GELTHI-000417,300,12,2.69,67.15
Diamond Top Coat 15ml,Top Coat,TC-DIATOP-000418,200,8,1.85,46.13
Gel nặn 3D - trắng 15ml,Hoá chất,HC-GELNAN-000419,250,10,1.98,49.32
Sơn màu Milky White 250ml,Sơn màu,SM-SONMAU-000420,1500,60,12.63,307.09
Liquid EMA G3 C1 Blue,Hoá chất,HC-LIQEMA-000421,1625,65,0,1118.35
Xô Gel Scrub Orange - 20KG,Pedicure,PED-XOGEL-000422,2750,110,0,1663.86
Vỏ nhám Mỹ ⌗150 (1000c),Tools & Accessories,TA-VONHA-000423,1250,50,0,692.10
Set 5c Bút Nặn Silicon,Bút,BUT-SET5C-000424,200,8,0.58,14.47
Dũa mỏng - To Vuông 80/80,Dũa,DUA-DUAMON-000425,500,20,5.06,125.76
Dũa mỏng - To Vuông 100/100,Dũa,DUA-DUAMON-000426,500,20,5.06,125.76
Tip Thẳng Natur Nhọn - Lẻ,Tips,TIP-TIPTHA-000427,18,0.7,0.18,4.51
Bình ngâm khử trùng dụng cụ,Pedicure,PED-BINNGA-000428,250,10,2.27,55.97
Bút cán gỗ sz14,Bút,BUT-BUTCAN-000429,1100,43,15.74,388.19
BL1 - Nhũ Đường Đen ánh trắng,Design,DES-BL1-000430,250,10,1.56,38.53
BL2 - Nhũ Đường Đen 7 màu,Design,DES-BL2-000431,250,10,1.25,30.80
Liquid EMA Ít mùi,Hoá chất,HC-LIQEMA-000432,2150,85,76.61,1600.65
Bịch Dũa mini 50c - Lẻ,Pedicure,PED-BICDUA-000433,100,4,0.54,13.26
Xốp kẹp chân 100c - Lẻ,Pedicure,PED-XOPKEP-000434,100,4,1.00,24.65
Hộp túi y tế 100c - Lẻ,Pedicure,PED-HOPTUI-000435,100,4,0.83,20.47
Muối viên - Lọ Nhỏ 250c,Pedicure,PED-MUOVIE-000436,250,10,0,100.66
Chai Bơm Cồn 200ml,Tools & Accessories,TA-CHABOM-000437,150,6,0,19.08
Cán dao cạo chân P05,Pedicure,PED-CANDAO-000438,120,5,0,18.04
Kệ Acrylic đựng bút,Tools & Accessories,TA-KEACR-000439,250,10,4.01,98.87
Bịch que tăm 100c - Lẻ,Tools & Accessories,TA-BICQUE-000440,75,3,0.60,14.75
Marble Ink Set 12 màu,Design,DES-MARINK-000441,1500,60,18.74,459.93
Gel 6in1,Top Coat,TC-GEL6IN-000442,200,8,2.34,57.49
Máy bào di động 45K,Đồ điện,DD-MAYBAO-000443,3000,120,58.37,1426.06
Gel vẽ Đen Hũ 50ml,Hoá chất,HC-GELVE-000444,250,10,3.15,76.84
5in1 pedicure kit cam,Pedicure,PED-5INPED-000445,1500,60,33.79,825.47
Lẻ - Jelly Spa 1 túi,Pedicure,PED-LE-000446,50,2,1.15,28.05
Kê tay cao - màu đen - chân bạc,Tools & Accessories,TA-KETAY-000447,300,12,4.77,116.45
Kê tay cao - màu trắng - chân bạc,Tools & Accessories,TA-KETAY-000448,300,12,4.77,116.45
Đèn LED làm chân,Đồ điện,DD-DENLED-000449,2100,85,38.26,934.64
Máy Khử trùng nhiệt độ,Đồ điện,DD-MAYKHU-000450,2250,90,14.96,365.46
Mịn thông XF,Đầu bào,DB-MINTHO-000451,250,10,5.41,132.05
Kìm Bấm Móng - Đầu Thẳng,Tools & Accessories,TA-KIMBAM-000452,150,6,2.07,50.66
Imperial Top Coat - 15ml - thin,Top Coat,TC-IMPTOP-000453,200,8,1.55,37.73
Imperial Top Coat - 15ml - thick,Top Coat,TC-IMPTOP-000454,200,8,1.77,43.22
Imperial Top Coat - 500ml - thin,Top Coat,TC-IMPTOP-000455,2000,80,0,515.34
Imperial Top Coat - 1000ml - thin,Top Coat,TC-IMPTOP-000456,3800,150,0,1030.68
Imperial Top Coat - 500ml - thick,Top Coat,TC-IMPTOP-000457,2000,80,0,530.90
Imperial Top Coat - 1000ml - thick,Top Coat,TC-IMPTOP-000458,3800,150,0,1061.83
Glaze Gel Polish Set 12 màu,Sơn màu,SM-GLAGEL-000459,1500,60,26.52,644.59
BIAB 15ml,Gel đắp,GD-BIA15M-000460,200,8,1.76,42.69
Cuticle Oil nắp nhọn 15ml,Hoá chất,HC-CUTOIL-000461,100,4,0.83,20.13
Liquid Professional,Hoá chất,HC-LIQPRO-000462,1750,70,50.94,1233.86
Liquid Winter,Hoá chất,HC-LIQWIN-000463,1375,55,0,967.42
Cốc liquid mini,Tools & Accessories,TA-COCLIQ-000464,75,3,0,27.32
Dép làm chân 24c,Pedicure,PED-DEPLAM-000465,100,4,0,20.07
Kem đẩy da 3.8L,Pedicure,PED-KEMDAY-000466,875,35,0,279.82
Kem đẩy da 1L,Pedicure,PED-KEMDAY-000467,300,12,0,110.33
Hộp Pedicure Bath Bombs 60c,Pedicure,PED-HOPPED-000468,875,35,0,336.89
Imperial Top Coat - 250ml - thick,Top Coat,TC-IMPTOP-000469,1250,50,0,297.30
Imperial Top Coat - 250ml - thin,Top Coat,TC-IMPTOP-000470,1250,50,0,297.30
Dũa Luxfile 60/60,Dũa,DUA-DUALUX-000471,700,25,14.33,345.96
Túi ni lông trong,Pedicure,PED-TUINI-000472,1750,70,36.22,874.57
Đèn nối mi,Đồ điện,DD-DENNOI-000473,4000,160,83.10,2006.52
Đèn bàn LED siêu sáng,Đồ điện,DD-DENBAN-000474,1500,60,27.22,657.31
Típ làm mẫu quyển màu nhọn,Tips,TIP-TIPLAM-000475,75,3,0.86,20.76
Thùng Chà chân tím 400c,Pedicure,PED-THUCHA-000476,975,39,16.91,408.22
Kìm bấm móng L 777 Korea,Tools & Accessories,TA-KIMBAM-000477,150,6,0,70.19
Tip trong thẳng clear,Tips,TIP-TIPTRO-000478,20,0.8,0.32,7.80
Tip thẳng vuông đục,Tips,TIP-TIPTHA-000479,20,0.8,0.32,7.80
Tip trong nhọn,Tips,TIP-TIPTRO-000480,20,0.8,0.28,6.75
Kìm tháo đá,Tools & Accessories,TA-KIMTHA-000481,150,6,0,26.27
Bút chấm bi vôi 2 đầu,Bút,BUT-BUTCHA-000482,125,5,0,63.66
Bào Mịn 3in1 dài - F,Đầu bào,DB-BAOMIN-000483,200,8,0,87.96
Bào Mịn 5in1 XXL - F,Đầu bào,DB-BAOMIN-000484,250,10,0,121.56
Bào Mịn Diamond - Đẩy Khoé,Đầu bào,DB-BAOMIN-000485,100,4,0,16.55
Đèn Hybrid SORAH,Đồ điện,DD-DENHYB-000486,1625,65,0,808.31
Hộp trong đựng nhũ,Tools & Accessories,TA-HOPTRO-000487,50,2,0,3.05
Gel đắp - 500ml - Clear,Gel đắp,GD-GELDAP-000488,1250,50,0,511.41
Gel đắp - 500ml - Natural Pink,Gel đắp,GD-GELDAP-000489,1250,50,0,511.41
Gel đắp - 500ml - Milky Pink,Gel đắp,GD-GELDAP-000490,1250,50,0,511.41
Gel đắp - 500ml - Milky White,Gel đắp,GD-GELDAP-000491,1250,50,0,511.41
Gel đắp - 500ml - Makeup 1,Gel đắp,GD-GELDAP-000492,1250,50,0,511.41
Gel đắp - 500ml - Makeup 2,Gel đắp,GD-GELDAP-000493,1250,50,0,511.41
Gel đắp - 500ml - Makeup 3,Gel đắp,GD-GELDAP-000494,1250,50,0,511.41
Gel đắp - 50ml - Clear,Gel đắp,GD-GELDAP-000495,350,14,0,122.87
Gel đắp - 50ml - Natural Pink,Gel đắp,GD-GELDAP-000496,350,14,0,122.87
Gel đắp - 50ml - Milky Pink,Gel đắp,GD-GELDAP-000497,350,14,0,122.87
Gel đắp - 50ml - Milky White,Gel đắp,GD-GELDAP-000498,350,14,0,122.87
Gel đắp - 50ml - Makeup ⌗1,Gel đắp,GD-GELDAP-000499,350,14,0,122.87
Gel đắp - 50ml - Makeup ⌗2,Gel đắp,GD-GELDAP-000500,350,14,0,122.87
Gel đắp - 50ml - Makeup ⌗3,Gel đắp,GD-GELDAP-000501,350,14,0,122.87
CND Shellac Base Coat,Top Coat,TC-CNDSHE-000502,500,20,0,350.26
Cồn xanh 80 độ 5L,Hoá chất,HC-CONXAN-000503,550,22,0,508.68
Thùng 5in1 pedi kit tím (200c),Pedicure,PED-THU5IN-000504,1500,60,0,598.95
Oil vị dứa 500ml,Hoá chất,HC-OILVI-000505,250,10,0,129.41
Hộp Cuticle oil 48c,Noel,NOE-HOPCUT-000506,875,35,0,603.91
Cuticle oil Noel,Noel,NOE-CUTOIL-000507,20,0.76,0,7.19
Kem Hộp Đỏ 50ml,Noel,NOE-KEMHOP-000508,50,2,0,27.32
Hộp kem mango vera 72c,Noel,NOE-HOPKEM-000509,975,39,0,352.29
Dầu Massage - Aloe Vera 3.8L,Pedicure,PED-DAUMAS-000510,875,35,0,284.73
Bột Ombre Nude I,Bột,BOT-BOTOMB-000511,840,35,0,425.91
Bột - Ombre Pink II,Bột,BOT-BOT-000512,840,35,0,444.94
